date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,7.8,-0.3,11,1.8,,,5.3,,1032.2,
2020-01-02 00:00:00,9.7,1.2,11.3,0,,,4.9,,1028.3,
2020-01-03 00:00:00,9.3,7.4,11.3,4.3,,,6.7,,1027.3,
2020-01-04 00:00:00,9.6,8.7,10.1,,,,6.8,,1026.4,
2020-01-05 00:00:00,12.4,9.5,17,0,,,8.2,,1024.7,
2020-01-06 00:00:00,15.3,9,24,,,,5.9,,1019,
2020-01-07 00:00:00,10.6,5.2,24.5,0.3,,,10.3,,1015.6,
2020-01-08 00:00:00,5.9,4.7,18.4,0,,,14.2,,1027.9,
2020-01-09 00:00:00,6.3,4,10,6.6,,,8.4,,1025.8,
2020-01-10 00:00:00,7.5,5.6,9,,,,7.9,,1021.3,
2020-01-11 00:00:00,6.5,5,8.1,3.3,,,11.9,,1021.9,
2020-01-12 00:00:00,6.6,5,9.3,,,,11,,1024.6,
2020-01-13 00:00:00,6.1,2,10,,,,5.5,,1024.3,
2020-01-14 00:00:00,5.9,4,9.2,0,,,10.3,,1027.3,
2020-01-15 00:00:00,6.6,4.5,8.9,27.4,,,6.7,,1026.7,
2020-01-16 00:00:00,6,4.3,7.2,13.7,,,12.5,,1024.7,
2020-01-17 00:00:00,5.3,4.1,6.3,0.3,,,12.5,,1027.5,
2020-01-18 00:00:00,5,3.7,6.1,0,,,9.1,,1026.5,
2020-01-19 00:00:00,5.2,4,10.4,0,,,5.6,,1025.2,
2020-01-20 00:00:00,6.4,2,12.3,,,,6.7,,1026.5,
2020-01-21 00:00:00,8.8,2.8,12.9,0.3,,,4.9,,1025.4,
2020-01-22 00:00:00,8.3,4.8,10.8,13.2,,,6.3,,1021,
2020-01-23 00:00:00,8.5,7.5,10,,,,7.4,,1023.7,
2020-01-24 00:00:00,8.1,6.9,9.3,15,,,11.9,,1028.1,
2020-01-25 00:00:00,7,5.7,8.5,41.1,,,11.5,,1027.3,
2020-01-26 00:00:00,7.1,5.6,9,,,,12.7,,1021.6,
2020-01-27 00:00:00,5.3,4.6,7.7,0.5,,,14.2,,1021.6,
2020-01-28 00:00:00,5.8,3.7,7.3,0,,,10.3,,1023.9,
2020-01-29 00:00:00,7.1,4,11,,,,12.6,,1024.2,
2020-01-30 00:00:00,7.1,5,11,,,,14,,1024,
2020-01-31 00:00:00,5.1,0,11.4,0,,,6.6,,1026.4,
2020-02-01 00:00:00,7.3,0.6,13.7,0,,,6.8,,1027.2,
2020-02-02 00:00:00,9.6,2.8,13.7,0.5,,,4,,1025.7,
2020-02-03 00:00:00,9.3,7,12.3,,,,9.7,,1027.4,
2020-02-04 00:00:00,7.3,5,12.7,0,,,4.9,,1026.1,
2020-02-05 00:00:00,8,3,13,,,,10.9,,1029.1,
2020-02-06 00:00:00,6,4.4,12.8,18.3,,,15,,1029.1,
2020-02-07 00:00:00,6.7,4.4,7.5,2.8,,,6.4,,1029.2,
2020-02-08 00:00:00,7.3,6,9,,,,6.2,,1031.8,
2020-02-09 00:00:00,6.8,5,13,0,,,5,,1030.6,
2020-02-10 00:00:00,11.4,3.9,16.2,8.6,,,5.8,,1025.3,
2020-02-11 00:00:00,10.6,4.7,16.2,6.9,,,3.9,,1021.6,
2020-02-12 00:00:00,12.8,8.3,15.2,0,,,3.6,,1018.6,
2020-02-13 00:00:00,14,12,18,,,,3.6,,1016.5,
2020-02-14 00:00:00,14.8,12,18.2,8.1,,,5.7,,1015.6,
2020-02-15 00:00:00,5.7,0.9,18.2,21.3,2,,15.5,,1020.9,
2020-02-16 00:00:00,3.8,1,14.2,0,,,18.8,,1029.2,
2020-02-17 00:00:00,6.2,0,11.2,0,,,15.2,,1031.8,
2020-02-18 00:00:00,6,0,12.1,0,,,6.3,,1031.9,
2020-02-19 00:00:00,6.9,2,12,,,,3.6,,1027.5,
2020-02-20 00:00:00,10.4,4,17,,,,6.5,,1029.9,
2020-02-21 00:00:00,11.1,4,18.5,,,,6.6,,1029,
2020-02-22 00:00:00,11.7,7,18.8,0,,,6.9,,1032,
2020-02-23 00:00:00,11.1,5,18,,,,6.4,,1028.2,
2020-02-24 00:00:00,16.8,9,27,,,,5.7,,1018.8,
2020-02-25 00:00:00,19,15,28.3,0,,,13.1,,1016,
2020-02-26 00:00:00,11.4,10,15,,,,13.2,,1024.8,
2020-02-27 00:00:00,9.9,9,12,,,,12.3,,1027.1,
2020-02-28 00:00:00,11.3,8,15,,,,8,,1018.3,
2020-02-29 00:00:00,10.4,9.7,14.2,7.1,,,6.9,,1017.3,
2020-03-01 00:00:00,10.4,9.6,12.2,2.8,,,11.4,,1020.6,
2020-03-02 00:00:00,9.3,7.5,12.2,0.8,,,11.7,,1026,
2020-03-03 00:00:00,9.1,7.5,11.4,3,,,5.4,,1024.3,
2020-03-04 00:00:00,9.6,8.2,12,,,,5.1,,1027.1,
2020-03-05 00:00:00,7.7,4,12.6,0,,,9.5,,1027.5,
2020-03-06 00:00:00,9.4,3,15,,,,5.5,,1018.7,
2020-03-07 00:00:00,13.1,6.7,18.5,0,,,6,,1015.8,
2020-03-08 00:00:00,13.7,10.2,18.5,27.2,,,11,,1014.3,
2020-03-09 00:00:00,13.2,12,16.2,2.8,,,12.1,,1008.4,
2020-03-10 00:00:00,9.8,8,16.2,0.3,,,13.3,,1018.7,
2020-03-11 00:00:00,11.6,5,18,,,,6.4,,1021.9,
2020-03-12 00:00:00,13.1,7.9,17.8,0.5,,,7.5,,1018.4,
2020-03-13 00:00:00,11.4,10,15.7,0.3,,,8.5,,1020.8,
2020-03-14 00:00:00,9.7,8,16,0,,,9.3,,1023,
2020-03-15 00:00:00,14.7,6.4,21.7,0,,,8.2,,1020.7,
2020-03-16 00:00:00,14.4,9.2,21.7,0,,,11.9,,1023.2,
2020-03-17 00:00:00,17.4,12,23.5,,,,6.9,,1018.8,
2020-03-18 00:00:00,18.8,13.6,25,,,,8.4,,1014.4,
2020-03-19 00:00:00,16.3,13,25.5,0,,,13.7,,1014.9,
2020-03-20 00:00:00,17.3,9,27,,,,5.4,,1015.6,
2020-03-21 00:00:00,20.4,14,29,,,,6.8,,1011.3,
2020-03-22 00:00:00,16.4,15,28.3,3.3,,,9.2,,1014.2,
2020-03-23 00:00:00,14,11,21.9,0,,,10.6,,1020.5,
2020-03-24 00:00:00,15.5,12.1,18.4,0,,,7.5,,1018.4,
2020-03-25 00:00:00,19.9,13,27,,,,5.3,,1012.8,
2020-03-26 00:00:00,22,17.7,28,,,,5.6,,1010.5,
2020-03-27 00:00:00,13.3,7.5,20,,,,17.7,,1019.7,
2020-03-28 00:00:00,6.9,4.8,12.4,8.4,,,13.6,,1024.9,
2020-03-29 00:00:00,7.2,5.6,9,,,,6.2,,1021.5,
2020-03-30 00:00:00,9.1,7.3,11,,,,6.1,,1019.4,
2020-03-31 00:00:00,10.9,9.4,13,,,,6.1,,1017.2,
2020-04-01 00:00:00,13,9.4,18,,,,8.1,,1021.3,
2020-04-02 00:00:00,13.4,10.2,17.5,0,,,10,,1023,
2020-04-03 00:00:00,12.6,11.7,16.4,0,,,7.5,,1023,
2020-04-04 00:00:00,14,9,20,,,,6.4,,1024,
2020-04-05 00:00:00,12.3,9,19.5,0,,,11,,1026,
2020-04-06 00:00:00,10.7,6.7,16.5,0,,,8.1,,1022.1,
2020-04-07 00:00:00,13.2,6,21,,,,5.5,,1019.5,
2020-04-08 00:00:00,15.3,7,24,,,,8.1,,1018.8,
2020-04-09 00:00:00,17,10,24,,,,8.5,,1019.3,
2020-04-10 00:00:00,18.1,11.5,24.5,2.3,,,10.4,,1020,
2020-04-11 00:00:00,10.9,7.6,24.2,7.4,,,15.6,,1019.2,
2020-04-12 00:00:00,13.6,7.9,20,,,,16.2,,1018.5,
2020-04-13 00:00:00,14.5,11,21.4,0,,,11.8,,1019.8,
2020-04-14 00:00:00,17.1,8.2,21.4,0,,,6.8,,1017.2,
2020-04-15 00:00:00,19.4,14,25.8,0,,,9,,1013.1,
2020-04-16 00:00:00,24,14,29.1,0,,,7.6,,1010.7,
2020-04-17 00:00:00,21.4,17.7,29.1,0,,,10.6,,1012.5,
2020-04-18 00:00:00,16.3,13.3,26.4,6.1,,,11.4,,1016.4,
2020-04-19 00:00:00,14.6,12.9,18.6,5.1,,,10.5,,1011.8,
2020-04-20 00:00:00,16.7,11,23,,,,8.7,,1015.8,
2020-04-21 00:00:00,13,10.3,23.3,4.1,,,11.4,,1019.8,
2020-04-22 00:00:00,16.4,10.2,20.5,0,,,6.6,,1021.4,
2020-04-23 00:00:00,16.4,14,20.5,0,,,8.1,,1022.3,
2020-04-24 00:00:00,18.1,12.6,24,,,,8,,1020,
2020-04-25 00:00:00,19.8,12.8,27,,,,11.6,,1015.9,
2020-04-26 00:00:00,20.3,17,29.2,0,,,8.6,,1016.3,
2020-04-27 00:00:00,15.1,13.2,29.2,0.5,,,11.8,,1021.2,
2020-04-28 00:00:00,16.9,10,25,,,,9.9,,1021.3,
2020-04-29 00:00:00,22.1,12.4,30,0,,,6.8,,1015.5,
